genres,original_title,director,production_companies
"action,adventure,fantasy,science fiction",Avatar,James Cameron,"Ingenious Film Partners,Twentieth Century Fox Film Corporation,Dune Entertainment,Lightstorm Entertainment"
"action,adventure,fantasy",Pirates of the Caribbean: At World's End,Gore Verbinski,"Walt Disney Pictures,Jerry Bruckheimer Films,Second Mate Productions"
"action,adventure,crime",Spectre,Sam Mendes,"Columbia Pictures,Danjaq,B24"
"action,crime,drama,thriller",The Dark Knight Rises,Christopher Nolan,"Legendary Pictures,Warner Bros.,DC Entertainment,Syncopy"
"action,adventure,science fiction",John Carter,Andrew Stanton,Walt Disney Pictures
"action,adventure,fantasy",Spider-Man 3,Sam Raimi,"Columbia Pictures,Laura Ziskin Productions,Marvel Enterprises"
"animation,family",Tangled,Byron Howard,"Walt Disney Pictures,Walt Disney Animation Studios"
"action,adventure,science fiction",Avengers: Age of Ultron,Joss Whedon,"Marvel Studios,Prime Focus,Revolution Sun Studios"
"adventure,family,fantasy",Harry Potter and the Half-Blood Prince,David Yates,"Warner Bros.,Heyday Films"
"action,adventure,fantasy",Batman v Superman: Dawn of Justice,Zack Snyder,"DC Comics,Atlas Entertainment,Warner Bros.,DC Entertainment,Cruel & Unusual Films,RatPac-Dune Entertainment"
"action,adventure,fantasy,science fiction",Superman Returns,Bryan Singer,"DC Comics,Legendary Pictures,Warner Bros.,Bad Hat Harry Productions"
"action,adventure,crime,thriller",Quantum of Solace,Marc Forster,Eon Productions
"action,adventure,fantasy",Pirates of the Caribbean: Dead Man's Chest,Gore Verbinski,"Walt Disney Pictures,Jerry Bruckheimer Films,Second Mate Productions"
"action,adventure,western",The Lone Ranger,Gore Verbinski,"Walt Disney Pictures,Jerry Bruckheimer Films,Infinitum Nihil,Silver Bullet Productions (II),Blind Wink Productions,Classic Media"
"action,adventure,fantasy,science fiction",Man of Steel,Zack Snyder,"Legendary Pictures,Warner Bros.,DC Entertainment,Syncopy,Cruel and Unusual Films"
"adventure,family,fantasy",The Chronicles of Narnia: Prince Caspian,Andrew Adamson,"Walt Disney,Walden Media,Stillking Films,Ozumi Films,Propeler,Silverbell Films,Revolution Sun Studios"
"action,adventure,science fiction",The Avengers,Joss Whedon,"Paramount Pictures,Marvel Studios"
"action,adventure,fantasy",Pirates of the Caribbean: On Stranger Tides,Rob Marshall,"Walt Disney Pictures,Jerry Bruckheimer Films,Moving Picture Company (MPC)"
"action,comedy,science fiction",Men in Black 3,Barry Sonnenfeld,"Amblin Entertainment,Media Magik Entertainment,Imagenation Abu Dhabi FZ,Hemisphere Media Capital,Parkes/MacDonald Productions"
"action,adventure,fantasy",The Hobbit: The Battle of the Five Armies,Peter Jackson,"WingNut Films,New Line Cinema,Warner Bros. Pictures,3Foot7,Metro-Goldwyn-Mayer (MGM)"
"action,adventure,fantasy",The Amazing Spider-Man,Marc Webb,"Columbia Pictures,Laura Ziskin Productions,Marvel Entertainment"
"action,adventure",Robin Hood,Ridley Scott,"Imagine Entertainment,Universal Pictures,Scott Free Productions,Relativity Media"
"adventure,fantasy",The Hobbit: The Desolation of Smaug,Peter Jackson,"WingNut Films,New Line Cinema,Warner Bros. Pictures,Metro-Goldwyn-Mayer (MGM)"
"adventure,fantasy",The Golden Compass,Chris Weitz,"New Line Cinema,Ingenious Film Partners,Depth of Field,Scholastic Productions"
"action,adventure,drama",King Kong,Peter Jackson,"WingNut Films,Universal Pictures,Big Primate Pictures,MFPV Film"
"drama,romance,thriller",Titanic,James Cameron,"Paramount Pictures,Twentieth Century Fox Film Corporation,Lightstorm Entertainment"
